iter 42," acc, nmi, ri = (0.30931, 0.27942, 0.00162)", loss:0.00162, n_changed_assignment:600, time:854.535
iter 43," acc, nmi, ri = (0.31059, 0.27905, 0.00208)", loss:0.00208, n_changed_assignment:445, time:870.833
iter 44," acc, nmi, ri = (0.31042, 0.27877, 0.00167)", loss:0.00167, n_changed_assignment:163, time:886.674
iter 45," acc, nmi, ri = (0.31065, 0.27941, 0.00099)", loss:0.00099, n_changed_assignment:645, time:902.118
iter 46," acc, nmi, ri = (0.31083, 0.27853, 0.00103)", loss:0.00103, n_changed_assignment:256, time:921.148
iter 47," acc, nmi, ri = (0.31147, 0.27826, 0.00133)", loss:0.00133, n_changed_assignment:185, time:941.106
iter 48," acc, nmi, ri = (0.31123, 0.27806, 0.00181)", loss:0.00181, n_changed_assignment:111, time:957.255
iter 49," acc, nmi, ri = (0.311, 0.27808, 0.00082)", loss:0.00082, n_changed_assignment:183, time:973.255
iter 50," acc, nmi, ri = (0.31182, 0.27856, 0.00417)", loss:0.00417, n_changed_assignment:295, time:989.471
iter 51," acc, nmi, ri = (0.31153, 0.27913, 0.00147)", loss:0.00147, n_changed_assignment:196, time:1005.033
iter 52," acc, nmi, ri = (0.31164, 0.27894, 0.0005)", loss:0.00050, n_changed_assignment:154, time:1029.808
iter 53," acc, nmi, ri = (0.31315, 0.27867, 0.00158)", loss:0.00158, n_changed_assignment:417, time:1051.883
iter 54," acc, nmi, ri = (0.31321, 0.2786, 0.00089)", loss:0.00089, n_changed_assignment:270, time:1067.713
iter 55," acc, nmi, ri = (0.31246, 0.27838, 0.00082)", loss:0.00082, n_changed_assignment:315, time:1084.046
iter 56," acc, nmi, ri = (0.31205, 0.27825, 0.00077)", loss:0.00077, n_changed_assignment:214, time:1099.872
iter 57," acc, nmi, ri = (0.31234, 0.27826, 0.00036)", loss:0.00036, n_changed_assignment:176, time:1117.187
iter 58," acc, nmi, ri = (0.31193, 0.27927, 0.00054)", loss:0.00054, n_changed_assignment:362, time:1136.933
iter 59," acc, nmi, ri = (0.31129, 0.27914, 0.0019)", loss:0.00190, n_changed_assignment:337, time:1152.721
iter 60," acc, nmi, ri = (0.31385, 0.27863, 0.00107)", loss:0.00107, n_changed_assignment:408, time:1171.028
iter 61," acc, nmi, ri = (0.31804, 0.27601, 0.00105)", loss:0.00105, n_changed_assignment:1035, time:1187.358
iter 62," acc, nmi, ri = (0.32072, 0.27587, 0.00074)", loss:0.00074, n_changed_assignment:635, time:1206.658
iter 63," acc, nmi, ri = (0.31612, 0.27653, 0.00031)", loss:0.00031, n_changed_assignment:1203, time:1222.269
iter 64," acc, nmi, ri = (0.31694, 0.27667, 0.00032)", loss:0.00032, n_changed_assignment:238, time:1238.168
iter 65," acc, nmi, ri = (0.31711, 0.27741, 0.0004)", loss:0.00040, n_changed_assignment:407, time:1254.295
iter 66," acc, nmi, ri = (0.31997, 0.27707, 0.00091)", loss:0.00091, n_changed_assignment:397, time:1269.600
iter 67," acc, nmi, ri = (0.32206, 0.27766, 0.00065)", loss:0.00065, n_changed_assignment:363, time:1287.429
iter 68," acc, nmi, ri = (0.32363, 0.27877, 0.00149)", loss:0.00149, n_changed_assignment:329, time:1303.185
iter 69," acc, nmi, ri = (0.32346, 0.27831, 0.0007)", loss:0.00070, n_changed_assignment:369, time:1319.556
iter 70," acc, nmi, ri = (0.32841, 0.2788, 0.00058)", loss:0.00058, n_changed_assignment:547, time:1335.075
iter 71," acc, nmi, ri = (0.32346, 0.2796, 0.00049)", loss:0.00049, n_changed_assignment:580, time:1350.774
